"","X","UNITID","INSTNM","STABBR","CITY","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","UGDS_2MOR","UGDS_NRA","UGDS_UNKN","LONGITUDE","LATITUDE","UGDS_WHITE","UGDS","ADM_RATE","COSTT4_A","MD_EARN_WNE_P10","C100_4","PCTFLOAN","CIP_SUM","WEST","MIDWEST","NORTHEAST","SOUTH","MAJOR_CITY","MINORATIO","MINOQ1","MINOQ2","MINOQ3","MINOQ4","STU_APPLIED","WM","WN","MM","MN","NM","NN","SM","SN","cluster"
"47",175,107558,"University of the Ozarks","AR","Clarksville",0.0571,0.1488,0.0017,0.0069,0,0.0381,0.0623,0.0138,-93.467924,35.477785,0.6713,578,0.8892,35438,36600,0.3692,0.4957,15,0,0,0,1,1,0.3287,1,0,0,0,650.022492127755,0,0,0,0,0,0,1,0,7
"48",187,107877,"Williams Baptist College","AR","Walnut Ridge",0.0906,0.0236,0,0.0098,0,0,0.0197,0.0059,-90.939876,36.126825,0.8504,508,0.7049,23161,32200,0.2867,0.6028,12,0,0,0,1,0,0.1496,1,0,0,0,720.669598524613,0,0,0,0,0,0,0,1,8
"49",189,107983,"Southern Arkansas University Main Campus","AR","Magnolia",0.2856,0.0248,0.0065,0.0047,0.009,0.0079,0.0298,7e-04,-93.235087,33.291195,0.6311,2784,0.7142,18887,34000,0.1815,0.4794,29,0,0,0,1,0,0.369,0,1,0,0,3898.06776813218,0,0,0,0,0,0,0,1,8
"50",192,108092,"University of Arkansas-Fort Smith","AR","Fort Smith",0.0466,0.0885,0.0456,0.028,5e-04,0.0501,0.015,0.0013,-94.374073,35.385345,0.7244,5990,0.5629,13983,30000,0.1288,0.3813,42,0,0,0,1,0,0.2756,1,0,0,0,10641.3217267721,0,0,0,0,0,0,0,1,8
"51",208,109651,"Art Center College of Design","CA","Pasadena",0.0116,0.1097,0.3484,0.0022,0.0033,0.0436,0.2696,0.0116,-118.186901,34.170844,0.2001,1814,0.809,57738,56100,0.3134,0.4929,1,1,0,0,0,1,0.8,0,0,0,1,2242.27441285538,1,0,0,0,0,0,0,0,1
"52",211,109785,"Azusa Pacific University","CA","Azusa",0.0448,0.2614,0.0912,0.0019,0.0095,0.0738,0.0191,0.0269,-117.88795,34.130865,0.4714,5918,0.8183,45472,50000,0.4679,0.5172,25,1,0,0,0,0,0.5286,0,0,1,0,7232.06647928633,0,1,0,0,0,0,0,0,2
"53",216,110097,"Biola University","CA","La Mirada",0.0209,0.1829,0.1613,0.0014,0.003,0.0648,0.027,0.0222,-118.017342,33.904823,0.5165,4364,0.754,46162,40500,0.5083,0.6176,21,1,0,0,0,0,0.4835,0,1,0,0,5787.79840848806,0,1,0,0,0,0,0,0,2
"54",217,110185,"Brooks Institute","CA","Ventura",0.0313,0.0675,0.0241,0.0024,0.0024,0.0048,0,0.6072,-119.295231,34.33851,0.2602,415,0.9912,32323,28800,0.5276,0.6321,2,1,0,0,0,1,0.7397,0,0,0,1,418.684422921711,1,0,0,0,0,0,0,0,1
"55",224,110361,"California Baptist University","CA","Riverside",0.0774,0.3225,0.048,0.0065,0.0106,0.0514,0.0204,0.0564,-117.42587,33.928569,0.4068,6435,0.7967,39523,40300,0.4005,0.7711,37,1,0,0,0,1,0.5932,0,0,1,0,8077.06790510857,1,0,0,0,0,0,0,0,1
"56",225,110370,"California College of the Arts","CA","San Francisco",0.039,0.1349,0.162,0.0033,0.0119,0,0.2725,0.0847,-122.399941,37.76723,0.2917,1512,0.6369,55398,33300,0.2874,0.5273,6,1,0,0,0,1,0.7083,0,0,1,0,2373.99905793688,1,0,0,0,0,0,0,0,1
"57",227,110404,"California Institute of Technology","CA","Pasadena",0.0153,0.1221,0.4385,0.001,0,0.057,0.0875,0,-118.12574,34.139275,0.2787,983,0.0883,58755,77800,0.8475,0.2303,11,1,0,0,0,1,0.7214,0,0,1,0,11132.5028312571,1,0,0,0,0,0,0,0,1
"58",228,110413,"California Lutheran University","CA","Thousand Oaks",0.0432,0.2547,0.0657,0.0114,0.0057,0.0272,0.0425,0.0397,-118.879467,34.225551,0.5098,2799,0.6097,50425,51000,0.583,0.5765,20,1,0,0,0,1,0.4901,0,1,0,0,4590.78235197638,1,0,0,0,0,0,0,0,1
"59",229,110422,"California Polytechnic State University-San Luis Obispo","CA","San Luis Obispo",0.007,0.1516,0.1185,0.0016,0.002,0.0703,0.0148,0.047,-120.65856,35.29889,0.5872,19177,0.3089,24218,61800,0.3614,0.3391,24,1,0,0,0,0,0.4128,0,1,0,0,62081.5797992878,0,1,0,0,0,0,0,0,2
"60",231,110486,"California State University-Bakersfield","CA","Bakersfield",0.0638,0.5186,0.0678,0.006,7e-04,0.028,0.0311,0.1005,-119.104711,35.350005,0.1835,7524,0.706,15975,46500,0.1598,0.4069,22,1,0,0,0,1,0.8165,0,0,0,1,10657.223796034,1,0,0,0,0,0,0,0,1
"61",232,110495,"California State University-Stanislaus","CA","Turlock",0.0246,0.475,0.1121,0.0043,0.0073,0.0363,0.0268,0.0551,-120.852511,37.52577,0.2585,7844,0.7272,16190,43400,0.1479,0.3966,21,1,0,0,0,0,0.7415,0,0,0,1,10786.5786578658,0,1,0,0,0,0,0,0,2
"62",233,110510,"California State University-San Bernardino","CA","San Bernardino",0.0653,0.5831,0.0605,0.0016,0.0024,0.0259,0.0624,0.04,-117.322508,34.182987,0.1588,16439,0.8445,16206,44600,0.1258,0.4476,24,1,0,0,0,1,0.8412,0,0,0,1,19465.956187093,1,0,0,0,0,0,0,0,1
